movie_title,genres,director_name,actor_1_name,actor_2_name,actor_3_name,title_year,plot_keywords
Obitaemyy ostrov ,Action|Adventure|Sci-Fi,Fedor Bondarchuk,Yuliya Snigir,Fedor Bondarchuk,Aleksey Serebryakov,2009,22nd century|first part|friend|guard|space opera
Breakdown ,Action|Crime|Drama|Mystery|Thriller,Jonathan Mostow,Kathleen Quinlan,M.C. Gainey,J.T. Walsh,1997,car breakdown|diner|jeep|paranoia|violence
Never Say Never Again ,Action|Adventure|Thriller,Irvin Kershner,Bernie Casey,Klaus Maria Brandauer,Barbara Carrera,1983,british|character says now that you're on the case i hope we're going to have some gratuitous sex and violence|cruise missile|missile|nuclear warhead
Hot Tub Time Machine ,Comedy|Sci-Fi,Steve Pink,Charlie McDermott,Collette Wolfe,Crystal Lowe,2010,cheating wife|drug reference|maintenance man|male vomiting|promiscuous woman
Dolphin Tale 2 ,Drama|Family,Charles Martin Smith,Morgan Freeman,Taylor Blackwell,Harry Connick Jr.,2014,dolphin|latex gloves|medical scrubs|purple gloves|turtle
Reindeer Games ,Action|Adventure|Crime|Drama|Family|Fantasy|Romance|Thriller,John Frankenheimer,Charlize Theron,James Frain,Clarence Williams III,2000,casino|christmas|christmas season|girlfriend|release from prison
A Man Apart ,Action|Crime|Drama|Thriller,F. Gary Gray,Vin Diesel,Jeff Kober,Larenz Tate,2003,bust|dea|drug cartel|justice|tragic hero
Aloha ,Comedy|Drama|Romance,Cameron Crowe,Emma Stone,Bradley Cooper,Bill Murray,2015,box office flop|critically bashed|hawaii|one word title|written by director
Ghosts of Mississippi ,Drama|History,Rob Reiner,Alexa PenaVega,Virginia Madsen,Craig T. Nelson,1996,activist|assassin|civil rights|trial|widow
Snow Falling on Cedars ,Drama|Mystery|Romance|Thriller,Scott Hicks,Rick Yune,Reeve Carney,Daniel von Bargen,1999,fisherman|japanese|love|trial|washington state
The Rite ,Drama|Horror|Mystery|Thriller,Mikael Håfström,Anthony Hopkins,Colin O'Donoghue,Toby Jones,2011,demon|exorcism|exorcist|faith|seminary
Gattaca ,Drama|Sci-Fi|Thriller,Andrew Niccol,Blair Underwood,Xander Berkeley,Mason Gamble,1997,accident|future|genetics|mission|police
Isn't She Great ,Biography|Comedy|Romance,Andrew Bergman,Stockard Channing,Nathan Lane,John Larroquette,2000,autistic son|cancer|female protagonist|new york city|son
Space Chimps ,Adventure|Animation|Comedy|Family|Sci-Fi,Kirk De Micco,Cheryl Hines,Kenan Thompson,Omid Abtahi,2008,astronaut|attacked by a plant|planet|senator|space travel
Head of State ,Comedy,Chris Rock,Bernie Mac,Dylan Baker,Tracy Morgan,2003,alderman|party|president|presidential candidate|washington d.c.
The Hangover ,Comedy,Todd Phillips,Bradley Cooper,Rob Riggle,Mike Epps,2009,drunkenness|female nudity|hangover|hedonism|morning after
Ip Man 3 ,Action|Biography|Drama|History,Wilson Yip,Mike Tyson,Lynn Hung,Kwok-Kwan Chan,2015,1950s|cancer|hong kong|martial arts school|wing chun
Austin Powers: The Spy Who Shagged Me ,Action|Adventure|Comedy|Crime,Jay Roach,Muse Watson,Verne Troyer,Robert Wagner,1999,penis joke|phallic image|sexy agent|spy|volcano hideout
Batman ,Action|Adventure,Tim Burton,Michael Gough,Jack Palance,William Hootkins,1989,city|dc comics|gotham|pantyhose|police
There Be Dragons ,Biography|Drama|War,Roland Joffé,Jordi Mollà,Dougray Scott,Lily Cole,2011,dying|forgiveness|saint|spanish civil war|starts with narration
Lethal Weapon 3 ,Action|Crime|Thriller,Richard Donner,Rene Russo,Nick Chinlund,Stuart Wilson,1992,gangster|gun|internal affairs|police|police officer
The Blind Side ,Biography|Drama|Sport,John Lee Hancock,Catherine Dyer,Quinton Aaron,Kim Dickens,2009,american football|based on true story|football star|high school football|left tackle
Rush Hour             ,Action|Comedy|Crime, ,Jon Foo,Aimee Garcia,Wendie Malick, , 
Spy Kids ,Action|Adventure|Comedy|Family|Sci-Fi,Robert Rodriguez,Alexa PenaVega,Cheech Marin,Daryl Sabara,2001,brother sister relationship|espionage|rescue|secret agent|spy
Horrible Bosses ,Comedy|Crime,Seth Gordon,Kevin Spacey,Lindsay Sloane,Reginald Ballard,2011,black comedy|boss|chemical company|dental assistant|murder
True Grit ,Adventure|Drama|Western,Ethan Coen,Matt Damon,Jeff Bridges,Bruce Green,2010,arkansas|murder|sheriff|texas ranger|u.s. marshal
The Devil Wears Prada ,Comedy|Drama|Romance,David Frankel,Meryl Streep,Anne Hathaway,Rebecca Mader,2006,fashion|fashion industry|magazine|new york city|publishing
Star Trek: The Motion Picture ,Adventure|Mystery|Sci-Fi,Robert Wise,Leonard Nimoy,Nichelle Nichols,Walter Koenig,1979,alien|space|space station|spacecraft|warp speed
Identity Thief ,Comedy|Crime,Seth Gordon,Jon Favreau,Eric Stonestreet,T.I.,2013,bounty hunter|credit card|cross country|identity|police
Cape Fear ,Crime|Thriller,Martin Scorsese,Robert De Niro,Robert Mitchum,Joe Don Baker,1991,lawyer|neo noir|prison|rapist|southern gothic
21,Crime|Drama|Thriller,Robert Luketic,Kevin Spacey,Jim Sturgess,Josh Gad,2008,based on true story|blackjack|card counting|gambling|massachusetts institute of technology
Trainwreck ,Comedy|Romance,Judd Apatow,Amy Schumer,Randall Park,Josh Segarra,2015,actress playing herself|actress shares first name with character|fired from a job|male nudity|written by star
Guess Who ,Comedy|Romance,Kevin Rodney Sullivan,Bernie Mac,Nicole Sullivan,Sherri Shepherd,2005,argument|engagement|family relationships|love|undressing
The English Patient ,Drama|Romance|War,Anthony Minghella,Colin Firth,Kristin Scott Thomas,Jürgen Prochnow,1996,church|english|flashback|nurse|patient
L.A. Confidential ,Crime|Drama|Mystery|Thriller,Curtis Hanson,Kevin Spacey,Matt McCoy,Paul Guilfoyle,1997,1950s|call girl|corruption|murder|police detective
Sky High ,Adventure|Comedy|Family|Sci-Fi,Mike Mitchell,Michael Angarano,Kelly Preston,Nicholas Braun,2005,coming of age|friend|high school|sidekick|superpower
In & Out ,Comedy,Frank Oz,Tom Selleck,Wilford Brimley,Lauren Ambrose,1997,academy award|gay|high school|reporter|teacher
Species ,Action|Horror|Sci-Fi|Thriller,Roger Donaldson,Natasha Henstridge,Marg Helgenberger,Jordan Lund,1995,alien|interspecies sex|scientist|sexual attraction|train
A Nightmare on Elm Street ,Horror,Wes Craven,Johnny Depp,Lin Shaye,Amanda Wyss,1984,freddy krueger|lucid dream|serial killer|slasher|sleep deprivation
The Cell ,Horror|Sci-Fi|Thriller,Tarsem Singh,Dylan Baker,Jake Weber,James Gammon,2000,coma|fbi|race against time|serial killer|strong female lead
The Man in the Iron Mask ,Action|Adventure,Randall Wallace,Leonardo DiCaprio,Anne Parillaud,Judith Godrèche,1998,france|musketeer|three musketeers|twin|twin brother
Secretariat ,Biography|Drama|Family|History|Sport,Randall Wallace,Scott Glenn,Kevin Connolly,Dylan Walsh,2010,eccentric|horse racing|newspaper clipping|stallion|triple crown
TMNT ,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Kevin Munroe,Chris Evans,Sarah Michelle Gellar,Mako,2007,martial arts master|monster|new york city|turtle|warrior
Radio ,Biography|Drama|Sport,Michael Tollin,Alfre Woodard,Riley Smith,Debra Winger,2003,coach|football|football coach|high school|radio
Friends with Benefits ,Comedy|Romance,Will Gluck,Mila Kunis,Justin Timberlake,Masi Oka,2011,blow job|female rear nudity|girl in panties|male objectification|no panties
Neighbors 2: Sorority Rising ,Comedy,Nicholas Stoller,Chloë Grace Moretz,Ike Barinholtz,Kiersey Clemons,2016,bare chested male|gay|gay best friend|gay man|gay marriage proposal
Saving Mr. Banks ,Biography|Comedy|Drama|History|Music,John Lee Hancock,Tom Hanks,Ruth Wilson,B.J. Novak,2013,author|disney|loss of father|reference to walt disney|suppression of emotion
Malcolm X ,Biography|Drama|History|Romance,Spike Lee,Denzel Washington,Delroy Lindo,Al Freeman Jr.,1992,african american|black history|civil rights|ku klux klan|nation of islam
This Is 40 ,Comedy,Judd Apatow,Charlyne Yi,Maude Apatow,Mackenzie Aladjem,2012,40th birthday|aging|birthday|sex|viagra
Old Dogs ,Comedy|Family,Walt Becker,Robin Williams,Bernie Mac,Ann-Margret,2009,best friend|business deal|impulse|public relations|twin
Underworld: Rise of the Lycans ,Action|Adventure|Fantasy|Sci-Fi|Thriller,Patrick Tatopoulos,Craig Parker,Kevin Grevioux,Steven Mackintosh,2009,battle|slave|vampire|warrior|werewolf
License to Wed ,Comedy|Romance,Ken Kwapis,Robin Williams,Christine Taylor,Mindy Kaling,2007,box office flop|church|kissing|usa|wedding
The Benchwarmers ,Comedy|Romance|Sport,Dennis Dugan,Jon Lovitz,Jon Heder,Tim Meadows,2006,baseball|baseball team|bully|millionaire|team
Must Love Dogs ,Comedy|Romance,Gary David Goldberg,Stockard Channing,Victor Webster,Elizabeth Perkins,2005,date|dating|dog|love|teacher
Donnie Brasco ,Biography|Crime|Drama,Mike Newell,Johnny Depp,Al Pacino,Anne Heche,1997,fbi|mafia|money|racial slur|singer
Resident Evil ,Action|Horror|Sci-Fi,Paul W.S. Anderson,Milla Jovovich,Jaymes Butler,Colin Salmon,2002,amnesia|quarantine|special forces|virus|zombie
Poltergeist ,Fantasy|Horror,Tobe Hooper,Heather O'Rourke,Zelda Rubinstein,Craig T. Nelson,1982,ghost|haunted|haunting|house|paranormal investigator
The Ladykillers ,Comedy|Crime|Thriller,Ethan Coen,J.K. Simmons,Tom Hanks,Stephen Root,2004,casino|irony of fate|landlady|professor|remake
Max Payne ,Action|Crime|Drama|Mystery|Thriller,John Moore,Mila Kunis,Beau Bridges,Jamie Hector,2008,corporation|death|ex partner|hallucination|police detective
In Time ,Action|Sci-Fi|Thriller,Andrew Niccol,Matt Bomer,Olivia Wilde,Justin Timberlake,2011,currency|future|murder|on the run|time
The Back-up Plan ,Comedy|Romance,Alan Poul,Danneel Ackles,Noureen DeWulf,Tom Bosley,2010,artificial insemination|baby|cheese|chick flick|pet shop
Something Borrowed ,Comedy|Drama|Romance,Luke Greenfield,Ashley Williams,Steve Howey,Kirsten Day,2011,best friend|crush|law school|lawyer|loud sex
Hit the Floor             ,Drama|Romance, ,Jodi Lyn O'Keefe,Kimberly Elise,Logan Browning, ,affair|hip hop|sex scene
Black Knight ,Adventure|Comedy|Fantasy,Gil Junger,Tom Wilkinson,Marsha Thomason,Vincent Regan,2001,14th century|king|knight|sword duel|time travel
The Bad News Bears ,Comedy|Drama|Family|Sport,Michael Ritchie,Tatum O'Neal,Vic Morrow,Joyce Van Patten,1976,baseball|california|coach|little league|swimming pool
Street Fighter ,Action|Adventure|Comedy|Thriller,Steven E. de Souza,Ming-Na Wen,Raul Julia,Kylie Minogue,1994,guile|hostage|ransom|soldier|united nations
The Pianist ,Biography|Drama|War,Roman Polanski,Emilia Fox,Frank Finlay,Ed Stoppard,2002,ghetto|holocaust|jewish|piano|warsaw ghetto
From Hell ,Horror|Mystery|Thriller,Albert Hughes,Johnny Depp,Jason Flemyng,Ian Richardson,2001,freemason|jack the ripper|opium|prostitute|victorian era
The Nativity Story ,Drama|Family|Fantasy,Catherine Hardwicke,Keisha Castle-Hughes,Hiam Abbass,Shaun Toub,2006,angel|bethlehem|journey|nazareth|virgin
House of Wax ,Horror,Jaume Collet-Serra,Robert Ri'chard,Paris Hilton,Brian Van Holt,2005,brother sister relationship|group of friends|male nudity|twin|wax
Closer ,Drama|Romance,Mike Nichols,Natalie Portman,Julia Roberts,Colin Stinton,2004,cheating wife|film camera|hasselblad camera|leica camera|medium format camera
J. Edgar ,Biography|Crime|Drama,Clint Eastwood,Leonardo DiCaprio,Naomi Watts,Kaitlyn Dever,2011,agent|fbi|federal bureau of investigation|gay relationship|secret
Mirrors ,Horror|Mystery,Alexandre Aja,Jason Flemyng,Cameron Boyce,Julian Glover,2008,estranged wife|evil|fire|medication|mirror
Queen of the Damned ,Drama|Fantasy|Horror,Michael Rymer,Aaliyah,Lena Olin,Bruce Spence,2002,fatal attraction|interspecies romance|queen|supernatural power|vampire
Predator 2 ,Action|Horror|Sci-Fi,Stephen Hopkins,Adam Baldwin,Robert Davi,Kevin Peter Hall,1990,alien|drug lord|gang|hunter|predator
Untraceable ,Crime|Drama|Thriller,Gregory Hoblit,Billy Burke,Jesse Tyler Ferguson,Joseph Cross,2008,cat|fbi agent|murder|serial killer|website
Blast from the Past ,Comedy|Drama|Romance|Sci-Fi,Hugh Wilson,Brendan Fraser,Sissy Spacek,Douglas Smith,1999,1960s|bomb shelter|cuban missile crisis|food|naive man
Flash Gordon ,Action|Adventure|Sci-Fi,Mike Hodges,Brian Blessed,William Hootkins,Sam J. Jones,1980,american football|cult film|emperor|flash gordon|mind reading
Jersey Girl ,Comedy|Drama|Romance,Kevin Smith,Stephen Root,Mike Starr,George Carlin,2004,baby|childbirth|death|karma|publicist
Alex Cross ,Action|Crime|Mystery|Thriller,Rob Cohen,Cicely Tyson,Chad Lindberg,Carmen Ejogo,2012,assassin|detective|partner|police|serial killer
Midnight in the Garden of Good and Evil ,Crime|Drama|Mystery|Thriller,Clint Eastwood,Kevin Spacey,Bob Gunton,Leon Rippy,1997,graveyard|murder|murder trial|reporter|trial
Heist ,Action|Crime|Thriller,Scott Mann,Robert De Niro,Joshua Mikel,D.B. Sweeney,2015,bus|die hard scenario
Nanny McPhee Returns ,Comedy|Family|Fantasy,Susanna White,Daniel Mays,Bill Bailey,Eros Vlahos,2010,farm|magic|mother daughter relationship|overalls|title directed by female
Hoffa ,Biography|Crime|Drama,Danny DeVito,Frank Whaley,J.T. Walsh,Paul Guilfoyle,1992,labor|labor union|leader|mafia|union
The X Files: I Want to Believe ,Drama|Mystery|Sci-Fi|Thriller,Chris Carter,Mitch Pileggi,Callum Rennie,Nicki Aycox,2008,fbi|priest|psychic|psychic vision|staff physician
Ella Enchanted ,Comedy|Family|Fantasy|Romance,Tommy O'Haver,Anne Hathaway,Steve Coogan,Joanna Lumley,2004,curse|fairy|obedience|prince|strong female character
Concussion ,Biography|Drama|Sport,Peter Landesman,Will Smith,Eddie Marsan,Albert Brooks,2015,chronic traumatic encephalopathy|concussion|football|football player|pathologist
Abduction ,Action|Mystery|Thriller,John Singleton,Ken Arnold,Benjamin J. Cain Jr.,Richard Cetrone,2011,assassin|high school|on the run|teenager|website
Valiant ,Adventure|Animation|Comedy|Family|War,Gary Chapman,Jim Broadbent,Olivia Williams,Pip Torrens,2005,dove|falcon|nursing|pigeon|psychological torture
Wonder Boys ,Comedy|Drama,Curtis Hanson,Robert Downey Jr.,Rip Torn,Richard Thomas,2000,based on novel|college girl|midlife crisis|pittsburgh pennsylvania|professor
Superhero Movie ,Action|Comedy|Sci-Fi|Thriller,Craig Mazin,Drake Bell,Tracy Morgan,Marion Ross,2008,dragonfly|hero|high school|soaking wet|supervillian origin
Broken City ,Crime|Drama|Thriller,Allen Hughes,Alona Tal,James Ransone,Michael Beach,2013,election|father son relationship|fellatio|gay slur|title spoken by character
Cursed ,Comedy|Horror,Wes Craven,Shannon Elizabeth,Portia de Rossi,Derek Mears,2005,creature|death|party|rescue|werewolf
Premium Rush ,Action|Crime|Thriller,David Koepp,Joseph Gordon-Levitt,Dania Ramirez,Aasif Mandvi,2012,chase|courier|delivery|envelope|police
Hot Pursuit ,Action|Comedy|Crime,Anne Fletcher,Jim Gaffigan,Richard T. Jones,Michael Mosley,2015,danger|drug cartel|female cop|female police officer|fugitive
The Four Feathers ,Adventure|Drama|Romance|War,Shekhar Kapur,Djimon Hounsou,Lucy Gordon,Alex Jennings,2002,male nudity|naked dead man|nudity|sex|whipping
Parker ,Action|Crime|Romance|Thriller,Taylor Hackford,Jason Statham,Clifton Collins Jr.,Wendell Pierce,2013,action hero|disguise|hospital|real estate agent|thief
Wimbledon ,Comedy|Romance|Sport,Richard Loncraine,Kirsten Dunst,Jon Favreau,Austin Nichols,2004,career|player|tennis|tennis player|wimbledon
Furry Vengeance ,Comedy|Family,Roger Kumble,Brendan Fraser,Brooke Shields,Matt Prokop,2010,animal|bear|land developer|real estate|real estate developer
Bait ,Action|Horror|Sci-Fi,Kimble Rendall,Alex Russell,Cariba Heine,Richard Brancatisano,2012,great white shark|shark|supermarket|swimming|tsunami
Krull ,Action|Adventure|Fantasy,Peter Yates,Liam Neeson,Alun Armstrong,Lysette Anthony,1983,cyclops|fortress|monster|planet|rescue
Lions for Lambs ,Drama|Thriller|War,Robert Redford,Meryl Streep,Tom Cruise,Andrew Garfield,2007,afghanistan|professor|reporter|student|university
Flight of the Intruder ,Action|Drama|Thriller|War,John Milius,Rosanna Arquette,Dann Florek,Christopher Rich,1991,bombardier|pilot|u.s. navy|vietnam|vietnam war
Walk Hard: The Dewey Cox Story ,Comedy|Music,Jake Kasdan,Tim Meadows,Nat Faxon,Matt Price,2007,drugs|elvis|musician|singer|the beatles
The Shipping News ,Drama,Lasse Hallström,Kevin Spacey,Scott Glenn,Jason Behr,2001,employee employer relationship|husband wife relationship|newspaper|ship|wake
American Outlaws ,Action|Western,Les Mayfield,Gregory Smith,Ronny Cox,Harris Yulin,2001,legend|old west|outlaw|railroad|stealing from the rich
The Young Victoria ,Biography|Drama|History|Romance,Jean-Marc Vallée,Michiel Huisman,Jim Broadbent,Thomas Kretschmann,2009,19th century|courtship|female protagonist|princess|queen of england
Whiteout ,Action|Crime|Mystery|Thriller,Dominic Sena,Tom Skerritt,Bashar Rahal,Shawn Doyle,2009,antarctica|geologist|investigation|u.s. marshal|winter
The Tree of Life ,Drama|Fantasy,Terrence Malick,Brad Pitt,Tye Sheridan,Fiona Shaw,2011,1950s|children|ice cube|texas|waco texas
Knock Off ,Action|Comedy|Thriller,Hark Tsui,Paul Sorvino,Lela Rochon,Ray Nicholas,1998,cia|hong kong|market|undercover|van
Sabotage ,Action|Crime|Drama|Thriller,David Ayer,Mireille Enos,Martin Donovan,Maurice Compte,2014,dea|drug cartel|kicked in the crotch|strip club|tough girl
The Order ,Action|Mystery|Thriller,Brian Helgeland,Heath Ledger,Mark Addy,Benno Fürmann,2003,death|exorcism|heaven|priest|sin eater
Punisher: War Zone ,Action|Crime|Drama|Thriller,Lexi Alexander,Julie Benz,Wayne Knight,Colin Salmon,2008,gun fu|plastic surgery|psychopath|undercover|vigilante
Zoom ,Action|Adventure|Family|Sci-Fi,Peter Hewitt,Kevin Zegers,Rip Torn,Thomas F. Wilson,2006,bruise|female hero|super strength|superhero|teenage superhero
The Walk ,Adventure|Biography|Drama|Thriller,Robert Zemeckis,Joseph Gordon-Levitt,Soleyman Pierini,Jade Kindar-Martin,2015,1970s|based on true story|new york city|skyscraper|tightrope walker
Warriors of Virtue ,Action|Adventure|Fantasy,Ronny Yu,Marley Shelton,Lee Arenberg,Angus Macfadyen,1997,anthropomorphic animal|football|kangaroo|sword and sorcery|water boy
A Good Year ,Comedy|Drama|Romance,Ridley Scott,Archie Panjabi,Albert Finney,Richard Coyle,2006,based on novel|inheritance|provence|uncle|wine
Luther             ,Crime|Drama|Mystery|Thriller, ,Ruth Wilson,Indira Varma,Warren Brown, ,murder|police|psychopath
Radio Flyer ,Drama,Richard Donner,Adam Baldwin,Thomas Ian Nicholas,John Heard,1992,father son relationship|physical abuse|radio flyer|stepfather|stepfather stepson relationship
"Blood In, Blood Out ",Crime|Drama,Taylor Hackford,Delroy Lindo,Jesse Borrego,Raymond Cruz,1993,1970s|1980s|barrio|gang war|mexican
Smilla's Sense of Snow ,Action|Drama|Sci-Fi|Thriller,Bille August,Jim Broadbent,Tom Wilkinson,Julia Ormond,1997,boy|greenland|neighbor|roof|snow
Femme Fatale ,Crime|Drama|Mystery|Thriller,Brian De Palma,Peter Coyote,Gregg Henry,Rie Rasmussen,2002,ambassador|cannes|identity|suicide|thief
Lion of the Desert ,Biography|Drama|History|War,Moustapha Akkad,Oliver Reed,Rod Steiger,John Gielgud,1980,arab|general|libya|muslim|mussolini
The Horseman on the Roof ,Adventure|Drama|Romance|War,Jean-Paul Rappeneau,Olivier Martinez,François Cluzet,Isabelle Carré,1995,austrian|breasts|cholera|police|provence
Ride with the Devil ,Drama|Romance|War|Western,Ang Lee,Jeremy W. Auman,Jeffrey Dover,Tobey Maguire,1999,bushwhacker|friend|honor|kansas|raid
Biutiful ,Drama,Alejandro G. Iñárritu,Maricel Álvarez,Hanaa Bouchaib,Eduard Fernández,2010,children|chinese|illegal immigrant|immigrant|male ponytail
The Lovers ,Action|Adventure|Romance|Sci-Fi,Roland Joffé,Tamsin Egerton,Alice Englert,Bipasha Basu,2015,1770s|british india|great barrier reef|india|ring
Bandidas ,Action|Comedy|Crime|Western,Joachim Rønning,Salma Hayek,Sam Shepard,Dwight Yoakam,2006,bank|cleavage|farmer|female gunfighter|mexico
Black Water Transit ,Crime|Drama,Tony Kaye,Bill Cobbs,Aisha Tyler,Beverly D'Angelo,2009,based on novel
The Maze Runner ,Action|Mystery|Sci-Fi|Thriller,Wes Ball,Ki Hong Lee,Aml Ameen,Jacob Latimore,2014,based on novel|concrete wall|maze|open ended|teenage boy
Unfinished Business ,Comedy,Ken Scott,Tom Wilkinson,June Diane Raphael,Melissa McMeekin,2015,business trip|company|glory hole|male frontal nudity|male nudity
The Age of Innocence ,Drama|Romance,Martin Scorsese,Richard E. Grant,Geraldine Chaplin,Stuart Wilson,1993,19th century|countess|lawyer|love|new york
The Fountain ,Drama|Sci-Fi,Darren Aronofsky,Hugh Jackman,Ellen Burstyn,Mark Margolis,2006,eternity|love|mayan|tree|tree of life
Chill Factor ,Action|Adventure|Comedy|Drama|Thriller,Hugh Johnson,David Paymer,Kevin J. O'Connor,Hudson Leick,1999,colonel|ice|ice cream truck|military|u.s. army
Stolen ,Action|Crime|Drama|Thriller,Simon West,Nicolas Cage,Mark Valley,Sami Gayle,2012,bank|money|presumed dead|rescue|thief
Ponyo ,Adventure|Animation|Family|Fantasy,Hayao Miyazaki,Rumi Hiiragi,Yûki Amami,Yuria Nara,2008,children adventure|magical realism|sea goddess|small town|tsunami
The Longest Ride ,Drama|Romance,George Tillman Jr.,Tiago Riani,Melissa Benoist,Hayley Lovitt,2015,1940s|art collector|bull riding|north carolina|student
The Astronaut's Wife ,Drama|Sci-Fi|Thriller,Rand Ravich,Johnny Depp,Charlize Theron,Clea DuVall,1999,astronaut|electrocuted in bathtub|mission|pilot|sister
I Dreamed of Africa ,Adventure|Drama|Romance,Hugh Hudson,Liam Aiken,Eva Marie Saint,Vincent Perez,2000,dream|italian|kenya|ranch|snake
Playing for Keeps ,Comedy|Romance|Sport,Gabriele Muccino,Gerard Butler,Dennis Quaid,Judy Greer,2012,coach|soccer|soccer coach|soccer mom|soccer team
Mandela: Long Walk to Freedom ,Biography|Drama|History,Justin Chadwick,Terry Pheto,Fana Mokoena,Tony Kgoroge,2013,africa|apartheid|nelson mandela|president|resistance
Reds ,Biography|Drama|History|Romance,Warren Beatty,Paul Sorvino,Warren Beatty,M. Emmet Walsh,1981,cold war|cold war era|interview|russia|written and directed by cast member
A Few Good Men ,Drama|Thriller,Rob Reiner,Tom Cruise,Demi Moore,Kevin Pollak,1992,cuba|guantanamo|lance corporal|lawyer|murder
Exit Wounds ,Action|Comedy|Crime|Drama|Thriller,Andrzej Bartkowiak,Michael Jai White,Bill Duke,Bruce McGill,2001,corrupt cop|drug dealer|drugs|heroin|vice president
Big Momma's House ,Action|Comedy|Crime,Raja Gosnell,Nia Long,Cedric the Entertainer,Tichina Arnold,2000,disguise|fbi|female impersonation|gender disguise|obesity
Thunder and the House of Magic ,Adventure|Animation|Comedy|Family|Fantasy,Jeremy Degruson,Kyle Hebert,Brianne Brozey,Joe Ochman,2013, 
The Darkest Hour ,Action|Adventure|Horror|Sci-Fi|Thriller,Chris Gorak,Max Minghella,Veronika Vernadskaya,Dato Bakhtadze,2011,alien|aurora borealis|critically bashed|killing an animal|nightclub
Step Up Revolution ,Drama|Music|Romance,Scott Speer,Ryan Guzman,Stephen Boss,Misha Gabriel Hamilton,2012,3 dimensional|dance|dancer|dancing|flash mob
Snakes on a Plane ,Action|Adventure|Crime|Drama|Thriller,David R. Ellis,Lin Shaye,Kenan Thompson,Rachel Blanchard,2006,baby rattle|famous line|murder|passenger|snake
The Watcher ,Crime|Horror|Mystery|Thriller,Joe Charbanic,Keanu Reeves,Joseph Sikora,Chris Ellis,2000,fbi|murder|scene of the crime|serial killer|therapy
The Punisher ,Action|Crime|Drama|Thriller,Jonathan Hensleigh,Laura Harring,Marco St. John,Eddie Jemison,2004,death|family reunion|fbi|fbi agent|vigilante
Goal! The Dream Begins ,Drama|Romance|Sport,Danny Cannon,Sean Pertwee,Kuno Becker,Stephen Dillane,2005,barrio|border|newcastle united|party|soccer
Safe ,Action|Crime|Thriller,Boaz Yakin,Jason Statham,Reggie Lee,Robert John Burke,2012,bodyguard|gang war|russian|russian mafia|triad
Pushing Tin ,Comedy|Drama|Romance,Mike Newell,Angelina Jolie Pitt,Kurt Fuller,Jake Weber,1999,air traffic control|air traffic controller|female bodybuilder|job|marriage
Star Wars: Episode VI - Return of the Jedi ,Action|Adventure|Fantasy|Sci-Fi,Richard Marquand,Harrison Ford,Ian McDiarmid,Kenny Baker,1983,death star|emperor|empire|princess|rebel
Doomsday ,Action|Sci-Fi|Thriller,Neil Marshall,Ryan Kruger,Jason Cope,Jeremy Crutchley,2008,cure|quarantine|scotland|virus|wall
The Reader ,Drama|Romance,Stephen Daldry,Kate Winslet,David Kross,Susanne Lothar,2008,love|reading|teaching oneself to read|trial|war crime
Wanderlust ,Comedy,David Wain,Justin Theroux,Lauren Ambrose,Joe Lo Truglio,2012,childbirth|female frontal nudity|nude protest|nudist|skinny dipping
Elf ,Comedy|Family|Fantasy|Romance,Jon Favreau,Peter Dinklage,Zooey Deschanel,Will Ferrell,2003,baby|christmas spirit|elf|new york city|north pole
Phenomenon ,Drama|Fantasy|Romance|Sci-Fi,Jon Turteltaub,Robert Duvall,Kyra Sedgwick,David Gallagher,1996,brain tumor|genius|psionic power|telekinesis|terminal illness
Snow Dogs ,Adventure|Comedy|Family|Sport,Brian Levant,James Coburn,Nichelle Nichols,M. Emmet Walsh,2002,dentist|dog|inheritance|race|sled dog
Scrooged ,Comedy|Drama|Fantasy,Richard Donner,Bill Murray,Alfre Woodard,Robert Mitchum,1988,christmas|compassion|executive|ghost|redemption
Nacho Libre ,Comedy|Family|Sport,Jared Hess,Ana de la Reguera,Moises Arias,Héctor Jiménez,2006,lucha libre|monastery|nun|orphan|wrestling
Bridesmaids ,Comedy|Romance,Paul Feig,Matt Lucas,Wendi McLendon-Covey,Steve Bannos,2011,best friend|failure|food|job|partial female nudity
This Is the End ,Comedy|Fantasy,Evan Goldberg,Channing Tatum,James Franco,Emma Watson,2013,apocalypse|celebrity|ensemble cast|party|rapture
Stigmata ,Horror,Rupert Wainwright,Nia Long,Enrico Colantoni,Portia de Rossi,1999,catholic|priest|stigmata|vatican|wound
Men of Honor ,Biography|Drama,George Tillman Jr.,Robert De Niro,Charlize Theron,Michael Rapaport,2000,african american|amputee|navy|racial discrimination|racism
Takers ,Action|Crime|Thriller,John Luessenhop,Paul Walker,Hayden Christensen,Jay Hernandez,2010,armored car|bank|falling out among thieves|heist|planning
The Big Wedding ,Comedy,Justin Zackham,Robin Williams,Robert De Niro,Topher Grace,2013,adoption|divorce|family relationships|farce|wedding
"Big Mommas: Like Father, Like Son ",Action|Comedy|Crime,John Whitesell,Brandon T. Jackson,Tony Curran,Portia Doubleday,2011,fbi agent|murder|performing arts school|scene during end credits|undercover
Source Code ,Mystery|Sci-Fi|Thriller,Duncan Jones,Jake Gyllenhaal,Cas Anvar,Russell Peters,2011,bomber|time|time loop|train|trapped in a time loop
